"Date","領先指標綜合指數","領先指標不含趨勢指數","同時指標綜合指數","同時指標不含趨勢指數","落後指標綜合指數","落後指標不含趨勢指數","景氣對策信號綜合分數","景氣對策信號"
198201,12.32815587,100.3449584,13.15273358,107.0671314,13.13630837,106.9334253,-,-
198202,12.3814322,99.92119235,12.89447756,104.0714361,13.37189735,107.9246953,-,-
198203,12.42082113,99.3859316,12.67474449,101.4269256,13.48148895,107.8827252,-,-
198204,12.41532257,98.49557429,12.50400114,99.20773481,13.50153001,107.1222078,-,-
198205,12.37670747,97.3511942,12.38495112,97.42415806,13.47300661,105.9831657,-,-
198206,12.3223557,96.09432542,12.3229379,96.10652529,13.4251567,104.7027237,-,-
198207,12.26001926,94.78743508,12.31943934,95.25408446,13.34875951,103.212803,-,-
198208,12.22401261,93.69465118,12.36630587,94.79217801,13.22922909,101.4067946,-,-
198209,12.23489624,92.96667996,12.45634728,94.65591245,13.06059872,99.24762538,-,-
198210,12.31835939,92.78769984,12.5678105,94.67290685,12.86245759,96.89247376,-,-
198211,12.50856861,93.39875694,12.70294219,94.85603183,12.64631288,94.43316672,-,-
198212,12.81511553,94.85047481,12.86567739,95.23036588,12.44290074,92.10101837,-,-
198301,13.22153092,97.00030354,13.04466485,95.70812624,12.30185196,90.25814107,-,-
198302,13.6645092,99.36994724,13.24586528,96.33069243,12.26045391,89.16427799,-,-
198303,14.11084418,101.7148829,13.43538473,96.85092546,12.34710482,89.00590142,-,-
198304,14.55152515,103.9723158,13.66509388,97.64339124,12.52494312,89.49648883,-,-
198305,14.91450741,105.6355524,13.93614529,98.71060099,12.76711154,90.4302608,-,-
198306,15.1376846,106.2856077,14.22957728,99.91389404,13.03973596,91.55934654,-,-
198307,15.21520628,105.909812,14.50946716,101.0014662,13.32522637,92.75787909,-,-
198308,15.15386911,104.5833055,14.77040585,101.9408268,13.60345594,93.88689521,-,-
198309,15.17318714,103.8342217,15.00790822,102.7069483,13.86420402,94.87998363,-,-
198310,15.28859163,103.7545368,15.224121,103.3205991,14.10492493,95.72502046,-,-
198311,15.4484682,103.9819363,15.44759474,103.9794612,14.32580806,96.42859156,-,-
198312,15.63484388,104.3904519,15.68849581,104.7519046,14.54228067,97.09863938,-,-
198401,15.85756542,105.0422898,15.94546945,105.6276401,14.78965921,97.97120145,42,紅
198402,16.11384975,105.9145304,16.1722785,106.301472,15.13675811,99.494927,39,紅
198403,16.33611519,106.5620457,16.3542637,106.6831555,15.53003579,101.3065004,37,黃紅
198404,16.47223597,106.6526972,16.4782687,106.6943109,15.90153658,102.9600572,34,黃紅
198405,16.48480561,105.9580009,16.55269777,106.3967729,16.22235594,104.2734148,37,黃紅
198406,16.38268201,104.5504297,16.57988036,105.8111335,16.49484543,105.2684492,30,綠
198407,16.21760399,102.7713069,16.54824783,104.8686878,16.73182202,106.0320246,30,綠
198408,16.0382262,100.9324451,16.46417192,103.6149757,16.94299147,106.62836,27,綠
198409,15.89400121,99.34174414,16.34589197,102.1680174,17.13101496,107.0753336,25,綠
198410,15.81916588,98.20412534,16.22140606,100.7029406,17.28202015,107.2872625,28,綠
198411,15.81432865,97.51153895,16.10650887,99.31479348,17.37575585,107.1411327,21,黃藍 
198412,15.86231782,97.14714909,16.00548928,98.02559296,17.4096019,106.6250784,21,黃藍 
198501,15.91426419,96.80432841,15.91569249,96.81457736,17.40987561,105.9036389,16,藍
198502,15.8591341,95.8091639,15.80155485,95.46283883,17.42190263,105.2519387,19,黃藍 
198503,15.71036826,94.25327951,15.61531232,93.6844926,17.49071513,104.9360229,14,藍
198504,15.50227708,92.35084584,15.43804634,91.96967892,17.55820289,104.6001707,14,藍
198505,15.27409854,90.3399653,15.28856225,90.42696878,17.60249807,104.113161,14,藍
198506,15.08337493,88.56009656,15.18679267,89.16875226,17.59930225,103.3337227,12,藍
198507,14.98648683,87.33443556,15.13442538,88.19801071,17.52708884,102.1415964,12,藍
198508,15.03535985,86.9507842,15.18083666,87.79356422,17.43362005,100.821824,13,藍
198509,15.2352906,87.42020564,15.34679967,88.06155349,17.34873373,99.54886209,14,藍
198510,15.58653769,88.724136,15.63500407,89.00157689,17.27004182,98.30895782,15,藍
198511,16.05446139,90.64698946,16.05892904,90.67382453,17.20102378,97.12245494,15,藍
198512,16.59203585,92.91044496,16.58582295,92.87732846,17.16086508,96.09745069,22,黃藍 
198601,17.13321608,95.13972384,17.15730917,95.27524952,17.16737687,95.33115583,21,黃藍 
198602,17.58377644,96.81773132,17.68194788,97.36006228,17.22331129,94.83472471,19,黃藍 
198603,17.89318241,97.68398616,18.10613033,98.84835383,17.3339312,94.63262075,33,黃紅
198604,18.06755571,97.79432882,18.44220941,99.8240571,17.52202725,94.84329181,28,綠
198605,18.15026675,97.40327664,18.74249835,100.5833234,17.71511031,95.06975197,29,綠
198606,18.19329228,96.80288854,19.0227218,101.2179487,17.87780848,95.12598249,37,黃紅
198607,18.22438401,96.1476799,19.27312008,101.6823806,18.01629986,95.0515667,34,黃紅
198608,18.30659763,95.7716735,19.48195723,101.9223869,18.15025831,94.95543116,39,紅
198609,18.46675564,95.80978929,19.72850268,102.3577572,18.29804682,94.93609652,36,黃紅
198610,18.70937858,96.27781492,20.0333407,103.0925652,18.47467663,95.0716025,36,黃紅
198611,19.02054721,97.09704095,20.36139729,103.9435124,18.68613796,95.39143038,38,紅
198612,19.35750353,98.0453618,20.67590053,104.7245856,18.9117162,95.78889386,37,黃紅
198701,19.71329159,99.08758986,20.94755381,105.2930268,19.15020767,96.25865379,36,黃紅
198702,20.048317,100.026741,21.15135883,105.531545,19.42228679,96.90459833,40,紅
198703,20.34669214,100.7888388,21.27502559,105.3887315,19.71625535,97.66715119,32,黃紅
198704,20.61910028,101.4323327,21.32494952,104.9058708,20.0126643,98.45022017,41,紅
198705,20.8555989,101.912857,21.33818451,104.2721816,20.30840914,99.24003261,39,紅
198706,21.04793614,102.1949611,21.34970546,103.6611723,20.58221426,99.93470223,38,紅
198707,21.17864054,102.1990702,21.3773719,103.1589683,20.80924981,100.4174298,34,黃紅
198708,21.21817063,101.7890189,21.42462636,102.7802279,20.9666682,100.5832681,36,黃紅
198709,21.21606439,101.2082802,21.46446704,102.393914,21.05010688,100.4172538,37,黃紅
198710,21.18504645,100.519629,21.49414871,101.9868025,21.08899144,100.0643865,31,綠
198711,21.16073189,99.89217093,21.52464276,101.6104599,21.10865536,99.646726,35,黃紅
198712,21.22204493,99.69486376,21.54480534,101.2113532,21.13242907,99.27412711,32,黃紅
198801,21.3954021,100.0442595,21.54868856,100.7611368,21.1982595,99.12253917,29,綠
198802,21.65039115,100.7907256,21.53896937,100.2719881,21.13120775,98.37370465,33,黃紅
198803,21.96373705,101.8207909,21.51280466,99.73016681,21.08656304,97.75417398,28,綠
198804,22.32145855,103.0660935,21.51876961,99.3594959,21.06349364,97.25733153,27,綠
198805,22.68059646,104.3262773,21.56045834,99.17343673,21.08514896,96.9871166,31,綠
198806,22.99580863,105.3931505,21.62200208,99.09624773,21.1549842,96.95584836,30,綠
198807,23.23422207,106.1183342,21.70652715,99.14018918,21.27826324,97.18418008,30,綠
198808,23.31522333,106.1378764,21.79666074,99.22416023,21.44705736,97.63267325,31,綠
198809,23.28936694,105.6873293,21.89717853,99.3687051,21.64717461,98.23419516,28,綠
198810,23.21455501,105.0320879,22.02097372,99.63088564,21.87202687,98.95699597,29,綠
198811,23.14755951,104.4290541,22.15962297,99.9709849,22.09201555,99.66598057,33,黃紅
198812,23.07672051,103.824292,22.2902094,100.2845809,22.28363037,100.2549816,32,黃紅
198901,23.0328384,103.354991,22.38288107,100.4372462,22.44946303,100.7360151,36,黃紅
198902,23.02884558,103.0769594,22.47840495,100.6119255,22.5695193,101.0197476,34,黃紅
