"Date","貨幣總計數M1B(百萬元)","股價指數(Index1966=100)","工業生產指數(Index2021=100)","工業及服務業加班工時(小時)","海關出口值(十億元)","機械及電機設備進口值(十億元)","製造業銷售量指數(Index2021=100)","批發、零售及餐飲業營業額(十億元)"
198201,466246,536.75,,9.9,65.56,,12.32,
198202,451067,528.42,,10.1,57.99,,12.82,
198203,437405,497.18,,10.5,70.61,,14.63,
198204,431695,481.75,,10.2,71.81,,14.3,
...
202603,30086138,33351.145,134.18,9,1361.834942,519.4099333,122.82,2113.463808
202604,30149810,36644.3385,126.49,9.4,1356.665467,520.5035333,114.95,2032.961864
202605,30618881,41932.916,136.74,9.3,1351.495992,521.5971333,118.1,2107.281728
202606,30748857,45392.44762,139,9.1,1346.326517,522.6907333,124.02,2214.460928
202607,30530948,44366.29,145.24,,1341.157042,523.7843333,,2264.24221
