"Date","領先指標綜合指數","領先指標不含趨勢指數","同時指標綜合指數","同時指標不含趨勢指數","落後指標綜合指數","落後指標不含趨勢指數","景氣對策信號綜合分數","景氣對策信號"
198201,12.32815587,100.3449584,13.15273358,107.0671314,13.13630837,106.9334253,-,-
198202,12.3814322,99.92119235,12.89447756,104.0714361,13.37189735,107.9246953,-,-
198203,12.42082113,99.3859316,12.67474449,101.4269256,13.48148895,107.8827252,-,-
198204,12.41532257,98.49557429,12.50400114,99.20773481,13.50153001,107.1222078,-,-
...
202603,127.8289504,101.8232329,131.3448686,104.6226689,124.47256,99.14853597,39,紅
202604,130.3698794,102.4610898,134.0222918,105.3302959,127.868395,100.4938485,40,紅
202605,133.0306268,103.154218,136.6330172,105.9461306,131.4928688,101.960426,39,紅
202606,135.7943463,103.8879886,139.1109671,106.4237691,135.128341,103.376949,41,紅
202607,138.6250095,104.6337283,141.5038118,106.8049538,138.836105,104.7914087,41,紅
