"Date","工業生產指數(Index2021=100)","電力(企業)總用電量(十億度)","製造業銷售量指數(Index2021=100)","批發、零售及餐飲業營業額(十億元)","工業及服務業加班工時(小時)","海關出口值(十億元)","機械及電機設備進口值(十億元)"
198201,,2.22,12.32,,9.9,65.56,
198202,,1.93,12.82,,10.1,57.99,
198203,,2.1,14.63,,10.5,70.61,
198204,,2.29,14.3,,10.2,71.81,
198205,,2.29,14.56,,10.2,76.04,
198206,,2.65,14.03,,10.2,72.64,
198207,,2.42,14.28,,9.9,78.69,
198208,,2.53,13.78,,10.4,78.72,
198209,,2.58,14.11,,10,72.26,
198210,,2.4,13.81,,10.7,69.28,
198211,,2.53,13.72,,10.5,71.17,
198212,,2.18,15.51,,10.9,83.07,
198301,,2.31,14.73,,9.8,66.63,
198302,,2.23,11.94,,8.6,62.68,
198303,,2,15.4,,10.9,71.38,
198304,,2.35,15.65,,10.5,83.61,
198305,,2.5,16.08,,11.3,85.96,
198306,,2.95,16.05,,11.3,88.82,
198307,,2.68,16.16,,11.1,93.15,
198308,,2.95,16.45,,11.2,96.42,
198309,,2.92,16.13,,10.9,86.84,
198310,,2.7,15.87,,11.7,85.9,
198311,,2.86,16.75,,10.8,94.73,
198312,,2.41,17.48,,11.3,92.66,
198401,,2.54,18.06,,12.5,94.91,
198402,,2.32,13.81,,11.2,76.52,
198403,,2.46,18.24,,12.7,99.2,
198404,,2.72,17.89,,12.7,103.59,
198405,,2.69,18.76,,13.1,114.16,
198406,,3.11,18.22,,12.5,107.75,
198407,,3.05,18.22,,11.8,115.71,
198408,,3.2,18.33,,11.1,108.61,
198409,,3.03,17.05,,10.8,94.58,
198410,,3.03,17.2,,11.4,103.97,
198411,,2.98,17.68,,10.8,97.29,
198412,,2.59,18.65,,11.1,93.29,
198501,,2.72,17.78,,10.5,108.04,
198502,,2.76,15.18,,8.2,82.78,
198503,,2.22,18.25,,9.6,88.24,
198504,,2.82,18.43,,10,106.64,
198505,,2.85,18.87,,9.9,105.29,
198506,,3.26,17.8,,9.9,105.65,
198507,,3.08,18.25,,9.2,110.77,
198508,,3.24,17.88,,8.7,100.73,
198509,,3.13,17.47,,9.3,103.29,
198510,,2.93,18.07,,9.8,105,
198511,,3.09,18.19,,9.6,106.48,
198512,,2.82,20.12,,10.2,103.82,
198601,,2.89,20.21,,11.8,123.44,
198602,,2.74,15.39,,9.5,90.19,
198603,,2.64,23.12,,12.1,116.85,
198604,,3.25,19.32,,12.1,122.01,
198605,,3.26,20.45,,12.5,120.67,
198606,,3.56,20.37,,12.9,127.99,
198607,,4.16,21.15,,11.8,136.75,
198608,,3.43,21.17,,11.3,136.98,
198609,,3.51,20.73,,11.6,118.69,
198610,,3.43,21.76,,12.2,141.75,
198611,,3.57,21.24,,12,140.3,
198612,,3.41,23.71,,12.5,134.02,
198701,,3.12,21.68,,12,118.71,
198702,,2.93,19.58,,10.3,135.23,
198703,,3.44,23.43,,12.2,142.57,
198704,,3.58,23.65,,12.1,150.55,
198705,,3.61,23.77,,12,144.16,
198706,,3.82,23.78,,11.7,155.91,
198707,,3.98,23.77,,11.4,138.76,
198708,,4.1,23.9,,11.4,151.63,
198709,,3.83,23.32,,11.3,154.34,
198710,,3.76,23.22,,12,128.26,
198711,,3.82,23.04,,11.6,154.97,
198712,,3.66,25.23,,11.5,134.91,
198801,,3.46,23.72,,11.4,140.14,29.93
198802,,3.31,20.38,,8.8,122.99,25.45
198803,,3.31,24.65,,10.4,129.85,32.48
198804,,3.78,24.56,,10.5,138.18,31.93
198805,,4.11,24.96,,10.4,154.45,31.4
198806,,4.08,24.79,,10.3,151.61,32.33
198807,,4.32,24.65,,10.3,150.41,34.04
198808,,4.47,24.89,,10.2,163.58,35.55
198809,,4.11,24.15,,10.3,129.29,26.68
198810,,3.93,23.86,,11,156.54,33.73
198811,,4.15,24.67,,10.9,154.64,35.83
198812,,4.01,26.72,,10.6,143.45,33.2
198901,,3.74,25.6,,10.3,149.82,34.78
198902,,3.14,19.99,,8.2,113.42,26.68
198903,,3.76,27.87,,10.1,152.27,33.41
198904,,4.03,26.53,,10.4,152.71,35.63
198905,,4.39,27.08,,9.9,163.39,34.66
198906,,4.32,27.12,,9.9,136.7,32.34
198907,,4.45,26.52,,10.1,165.45,35.54
198908,,4.66,27.06,,10,153.2,32.71
198909,,4.4,25.32,,9.8,135.15,31.2
198910,,4.06,25.44,,10.4,146.52,33.7
198911,,4.29,26.37,,9.8,142.87,34.02
198912,,3.97,27,,9.6,139.73,31.49
199001,,3.72,23.2,,9,129.29,25.4
199002,,3.49,23.3,,8.3,131.91,43.11
199003,,4,27.83,,9.8,138.25,36.9
199004,,4.25,26.14,,9.2,150.73,39.68
199005,,4.51,26.76,,9.2,148.98,34.98
199006,,4.49,26.88,,9.3,144.67,36.59
199007,,4.78,26.75,,9.9,169.98,42.51
199008,,4.67,27.62,,9.4,157.51,34.44
199009,,4.54,26.22,,9.7,152.78,32.62
199010,,4.66,26.66,,10.4,169.31,39.55
199011,,4.52,27.48,,9.7,166.03,37.88
199012,,4.23,27.86,,10,149.01,37.52
199101,,4.51,26.46,,9.6,169.33,42.24
199102,,3.42,21.26,,8,133.25,32.53
199103,,4.05,27.38,,9.2,155.43,40.05
199104,,4.72,27.78,,10,154.46,46.32
199105,,4.63,29.19,,9.7,185.92,42.8
199106,,5.02,28.15,,9.8,187.79,42.34
199107,,5.25,29.29,,9.7,193,47.2
199108,,5.13,30.15,,9.4,165.83,38.87
199109,,4.97,29.67,,9.6,185.65,40.87
199110,,4.82,30.55,,10.2,176.14,43.14
199111,,4.64,31.27,,9.6,184.03,41.95
199112,,4.56,31.75,,9.9,160.23,41.15
199201,,4.47,30.92,,9.5,177.83,46.68
199202,,3.81,23.54,,7.9,130.99,35.32
199203,,4.24,30.49,,9.4,175.84,44.32
199204,,5.16,30.75,,9.7,178.55,46.44
199205,,4.88,30.81,,9.7,176.3,47.74
199206,,5.23,30.78,,9.3,171.42,51.45
199207,,5.28,30.91,,9.2,171.16,50.85
199208,,5.66,30.31,,8.9,183.56,48.87
199209,,5.03,29.35,,8.9,164.53,43.23
199210,,4.95,30.61,,9.6,178.82,49.21
199211,,4.81,30.49,,9.5,191.64,52.01
199212,,4.52,32.17,,9.5,163.73,47.13
199301,,4.18,25.73,,8.4,162.04,43.2
199302,,4.12,29.15,,8.3,163.67,51.71
199303,,5.21,32.33,,8.7,193.28,54.39
199304,,4.72,32.02,,9.3,181.72,53.28
199305,,5.27,31.72,,9.2,209.02,55.01
199306,,5.4,31.34,,8.9,184.78,51.38
199307,,5.57,32.5,,9.2,192.76,55.9
199308,,5.9,32.01,,9.3,207.25,55.81
199309,,5.31,31.27,,9.2,174.83,51.76
199310,,5.24,31.75,,9.9,201.86,55.7
199311,,5.38,31.21,,10.1,203.68,54.56
199312,,4.85,33.84,,10,186.94,54.37
199401,,5.13,32.05,,10.1,197.67,63.6
199402,,4.09,25.97,,8.2,153.24,46.6
199403,,5.12,34.61,,9.7,191.63,58.2
199404,,5.05,34.33,,10.2,201.47,60.99
199405,,6.1,34.32,,10.2,227.68,62.51
199406,,5.77,34.71,,10,196.88,58.34
199407,,5.63,34.08,,10.3,211.52,62.53
199408,,6.13,33.67,,10.1,214.01,59.95
199409,,5.52,34.41,,10.4,201.22,55.05
199410,,5.57,34.52,,11.2,232.15,64.24
199411,,5.79,35.93,,10.8,249.01,71.25
199412,,5.31,36.82,,10.9,212.57,60.07
199501,,5.01,34.86,,10.7,196.69,63.37
199502,,5,29.25,,9.1,226.19,67.38
199503,,5.22,38.04,,10.2,239.61,71.9
199504,,5.47,35.09,,10.4,248.99,79.86
199505,,6.28,37.24,,10.2,257.95,77.76
199506,,6.4,35.86,,9.7,224.43,78.24
199507,,6.12,34.9,,9.2,268.06,88.68
199508,,6.43,35.33,,8.8,270.16,86
199509,,5.8,35.08,,9,242.42,73.8
199510,,6.04,34.81,,10,288.56,87.8
199511,,6.03,35.75,,9.5,274.3,90.73
199512,,5.13,35.35,,9.6,256.83,79.8
199601,29.62,5.9,35.27,,9.4,295.95,100.04
199602,24.8,4.64,29.56,,7.8,209.77,69.57
199603,29.68,5.51,36,,9.1,250.47,81.03
199604,29.68,5.71,36.29,,9.5,277.45,90.84
199605,30.88,5.94,37.48,,9.4,262.62,71.44
199606,30.03,6.39,35.98,,9.1,270.96,80.82
199607,30.71,6.71,36.1,,9.2,264.89,80.56
199608,30.86,6.28,36.89,,9.6,270.51,81.82
199609,30.09,6.38,35.93,,9.7,273.16,74.92
199610,31.29,6.54,37.5,,10.6,273.31,82.74
199611,31.73,6.22,38.35,,10.3,286.47,95.1
199612,32.89,5.89,39.08,,10.2,285.99,80.22
199701,31.4,6.19,38.76,,10.3,287.65,89.46
199702,25.18,4.88,30.12,,8.8,215.3,71.74
199703,32.89,6.08,39.98,,10.4,297.78,96.58
199704,31.8,6.32,38.6,,10.4,275,102.69
199705,33.09,6.78,39.56,,10.1,285.72,85.02
199706,31.55,6.8,37.56,,9.7,282.41,98.46
199707,32.95,7.14,39.16,,9.7,302.38,104.79
199708,32.66,6.83,38.24,,9.7,274.88,94.16
199709,32.58,6.9,39.1,,10.1,314.88,104.17
199710,34.63,6.94,40.74,,10.9,302.66,100.01
199711,33.52,6.67,39.63,,11,356.73,114.26
199712,35.81,6.71,42.45,,10.5,346.11,115.18
199801,29.36,5.54,35.12,,10.1,256.4,96.62
199802,30.34,6.18,35.94,,9.3,293.46,128.39
199803,34.19,6.74,40.58,,9.5,347.18,132.8
199804,33.6,6.48,39.8,,9.8,303.52,114.36
199805,33.42,7.31,38.43,,9.9,314.77,109.56
199806,33.54,7.63,39.42,,8.9,317.25,113.35
199807,34.01,7.18,39.71,,8.3,312.8,111.57
199808,33.83,7.69,39.88,,8.6,338.11,124.05
199809,34.41,7.58,41.05,,8.8,334.35,130.88
199810,35.01,7.13,41.44,,9.8,296.58,127.47
199811,34.63,6.93,40.23,,9.6,345.97,130.43
199812,35.32,6.65,42.12,,9.6,300.09,118.11
199901,34.14,6.52,40.8,656.56196,9.6,320.63,133.77
199902,28.23,5.35,33.09,674.455642,8.1,248.18,103.77
199903,36.6,7.24,44.69,683.69244,9.5,348.92,144.06
199904,36.32,7.03,43.94,685.983209,10.1,305.92,119.87
199905,36.86,7.47,43.4,689.209924,10.1,352.72,131.42
199906,36.58,7.89,43.85,699.830771,10.2,326.18,131.42
199907,36.84,7.84,42.52,719.674013,10,326.8,129.23
199908,36.77,8.19,42.63,715.629525,9.8,349.7,138.81
199909,34,7.09,40.94,709.907353,9.3,309.23,119.75
199910,37.8,7.4,45.16,703.531804,10.2,370.21,176.42
199911,38.14,7.84,44.93,708.053031,10.4,372.7,153.44
199912,39.02,6.98,46.15,740.318873,10.3,355.19,152.53
200001,37.57,6.95,45.77,746.156376,10.3,377.75,149.17
200002,30.92,6.48,37.14,721.712973,8.9,282.41,135.39
200003,40.19,7.59,49.33,758.907494,10.2,375.19,165.33
200004,37.71,7.59,45.43,755.139384,10.4,382.81,177.78
200005,40.02,8.31,47.97,779.736938,10.2,411.61,184.67
200006,39.88,8.52,48.02,780.0659,10.2,391.04,172.72
200007,39.32,8.34,46.88,803.498072,9.9,428.41,199.31
