"Date","貨幣總計數M1B(百萬元)","股價指數(Index1966=100)","工業生產指數(Index2021=100)","工業及服務業加班工時(小時)","海關出口值(十億元)","機械及電機設備進口值(十億元)","製造業銷售量指數(Index2021=100)","批發、零售及餐飲業營業額(十億元)"
198201,466246,536.75,,9.9,65.56,,12.32,
198202,451067,528.42,,10.1,57.99,,12.82,
198203,437405,497.18,,10.5,70.61,,14.63,
198204,431695,481.75,,10.2,71.81,,14.3,
198205,435767,474.34,,10.2,76.04,,14.56,
198206,445140,458.59,,10.2,72.64,,14.03,
198207,461848,457.95,,9.9,78.69,,14.28,
198208,466361,436.87,,10.4,78.72,,13.78,
198209,468204,465.26,,10,72.26,,14.11,
198210,475246,472.23,,10.7,69.28,,13.81,
198211,477222,473.48,,10.5,71.17,,13.72,
198212,482837,443.63,,10.9,83.07,,15.51,
198301,501701,448.27,,9.8,66.63,,14.73,
198302,544781,465.35,,8.6,62.68,,11.94,
198303,519458,559.46,,10.9,71.38,,15.4,
198304,518576,675.14,,10.5,83.61,,15.65,
198305,528494,677.66,,11.3,85.96,,16.08,
198306,538489,695.35,,11.3,88.82,,16.05,
198307,558064,743.54,,11.1,93.15,,16.16,
198308,553147,709.07,,11.2,96.42,,16.45,
198309,561411,728.65,,10.9,86.84,,16.13,
198310,562344,709.98,,11.7,85.9,,15.87,
198311,563345,712.13,,10.8,94.73,,16.75,
198312,575086,726.81,,11.3,92.66,,17.48,
198401,614553,793.31,,12.5,94.91,,18.06,
198402,627656,864.46,,11.2,76.52,,13.81,
198403,601495,882.35,,12.7,99.2,,18.24,
198404,596948,899.8,,12.7,103.59,,17.89,
198405,603302,932,,13.1,114.16,,18.76,
198406,616527,900.45,,12.5,107.75,,18.22,
198407,625033,889.94,,11.8,115.71,,18.22,
198408,625584,908.23,,11.1,108.61,,18.33,
198409,632139,877.71,,10.8,94.58,,17.05,
198410,627613,858.23,,11.4,103.97,,17.2,
198411,629929,816.57,,10.8,97.29,,17.68,
198412,638882,847.06,,11.1,93.29,,18.65,
198501,655524,823.26,,10.5,108.04,,17.78,
198502,705514,786.04,,8.2,82.78,,15.18,
198503,671844,793.33,,9.6,88.24,,18.25,
198504,655432,756.83,,10,106.64,,18.43,
198505,651254,734.23,,9.9,105.29,,18.87,
198506,652176,709.82,,9.9,105.65,,17.8,
198507,667292,669.79,,9.2,110.77,,18.25,
198508,665514,656.62,,8.7,100.73,,17.88,
198509,673934,699.75,,9.3,103.29,,17.47,
198510,685835,738.97,,9.8,105,,18.07,
198511,696199,771.13,,9.6,106.48,,18.19,
198512,711278,807.7,,10.2,103.82,,20.12,
198601,752285,856.16,,11.8,123.44,,20.21,
198602,809278,923.35,,9.5,90.19,,15.39,
198603,794080,961.12,,12.1,116.85,,23.12,
198604,808363,910.39,,12.1,122.01,,19.32,
198605,825326,915.33,,12.5,120.67,,20.45,
198606,853772,972.41,,12.9,127.99,,20.37,
198607,887807,976.58,,11.8,136.75,,21.15,
198608,924508,892.29,,11.3,136.98,,21.17,
198609,959490,922.18,,11.6,118.69,,20.73,
198610,993674,984.91,,12.2,141.75,,21.76,
198611,1026761,1009.96,,12,140.3,,21.24,
198612,1073740,1012.21,,12.5,134.02,,23.71,
198701,1158747,1113.63,,12,118.71,,21.68,
198702,1185403,1216.03,,10.3,135.23,,19.58,
198703,1189298,1312.28,,12.2,142.57,,23.43,
198704,1224741,1599.61,,12.1,150.55,,23.65,
198705,1255199,1814.28,,12,144.16,,23.77,
198706,1282249,1735.67,,11.7,155.91,,23.78,
198707,1316199,1858.05,,11.4,138.76,,23.77,
198708,1325474,2451.5,,11.4,151.63,,23.9,
198709,1358285,3567.25,,11.3,154.34,,23.32,
198710,1408758,3590.11,,12,128.26,,23.22,
198711,1455904,2713.66,,11.6,154.97,,23.04,
198712,1519513,2648.33,,11.5,134.91,,25.23,
198801,1548616,2610.83,,11.4,140.14,29.93,23.72,
198802,1603637,3206.85,,8.8,122.99,25.45,20.38,
198803,1580514,3345.91,,10.4,129.85,32.48,24.65,
198804,1598903,3767.78,,10.5,138.18,31.93,24.56,
198805,1649192,4441.56,,10.4,154.45,31.4,24.96,
198806,1694748,4951.33,,10.3,151.61,32.33,24.79,
198807,1719904,5422.07,,10.3,150.41,34.04,24.65,
198808,1727320,7352.13,,10.2,163.58,35.55,24.89,
198809,1767807,8039.07,,10.3,129.29,26.68,24.15,
198810,1780170,6580.92,,11,156.54,33.73,23.86,
198811,1845344,6851.97,,10.9,154.64,35.83,24.67,
198812,1886373,5856.62,,10.6,143.45,33.2,26.72,
198901,1963114,5716.92,,10.3,149.82,34.78,25.6,
198902,2032137,6679.85,,8.2,113.42,26.68,19.99,
198903,2034608,7318.04,,10.1,152.27,33.41,27.87,
198904,2016064,7785.28,,10.4,152.71,35.63,26.53,
198905,1854583,8795.43,,9.9,163.39,34.66,27.08,
198906,1816600,9497.42,,9.9,136.7,32.34,27.12,
198907,1844620,8619.62,,10.1,165.45,35.54,26.52,
198908,1867491,9731.62,,10,153.2,32.71,27.06,
198909,1893902,10402.75,,9.8,135.15,31.2,25.32,
198910,1907374,10066.97,,10.4,146.52,33.7,25.44,
198911,1917357,10121.37,,9.8,142.87,34.02,26.37,
198912,1980253,8658.43,,9.6,139.73,31.49,27,
199001,2117923,10677.57,,9,129.29,25.4,23.2,
199002,2101585,11983.46,,8.3,131.91,43.11,23.3,
199003,1965843,11223.1,,9.8,138.25,36.9,27.83,
199004,1861746,9741.52,,9.2,150.73,39.68,26.14,
199005,1844389,7848.01,,9.2,148.98,34.98,26.76,
199006,1845297,6157.25,,9.3,144.67,36.59,26.88,
199007,1808683,5037.66,,9.9,169.98,42.51,26.75,
199008,1772144,4119.74,,9.4,157.51,34.44,27.62,
199009,1757147,3237.57,,9.7,152.78,32.62,26.22,
199010,1752143,2912.16,,10.4,169.31,39.55,26.66,
199011,1799589,3966.22,,9.7,166.03,37.88,27.48,
199012,1853816,4399.58,,10,149.01,37.52,27.86,
199101,1914041,3938.06,,9.6,169.33,42.24,26.46,
199102,2044902,4643.07,,8,133.25,32.53,21.26,
199103,1965328,4781.39,,9.2,155.43,40.05,27.38,
199104,1953449,5605.66,,10,154.46,46.32,27.78,
199105,1944926,5993,,9.7,185.92,42.8,29.19,
199106,1973682,5869.78,,9.8,187.79,42.34,28.15,
199107,2006136,5259.56,,9.7,193,47.2,29.29,
199108,1970661,4779.64,,9.4,165.83,38.87,30.15,
199109,1966523,4669.08,,9.6,185.65,40.87,29.67,
199110,1987431,4541.45,,10.2,176.14,43.14,30.55,
199111,2005034,4448.69,,9.6,184.03,41.95,31.27,
199112,2067124,4438.66,,9.9,160.23,41.15,31.75,
199201,2212803,5023.19,,9.5,177.83,46.68,30.92,
199202,2312909,5031.01,,7.9,130.99,35.32,23.54,
199203,2259316,4908.19,,9.4,175.84,44.32,30.49,
199204,2284729,4529.4,,9.7,178.55,46.44,30.75,
199205,2292186,4476.85,,9.7,176.3,47.74,30.81,
199206,2318620,4588.46,,9.3,171.42,51.45,30.78,
199207,2353480,4234.61,,9.2,171.16,50.85,30.91,
