"Date","外銷訂單動向指數(以家數計)","貨幣總計數M1B(百萬元)","股價指數(Index1966=100)","工業及服務業受僱員工淨進入率(%)","建築物開工樓地板面積(住宅類住宅、商業辦公、工業倉儲)(千平方公尺)","名目半導體設備進口(新臺幣百萬元)"
198201,,466246,536.75,-0.56,,
198202,,451067,528.42,-0.56,,
198203,,437405,497.18,0.73,,
198204,,431695,481.75,0.01,,
198205,,435767,474.34,-0.87,,
198206,,445140,458.59,0.02,,
198207,,461848,457.95,0.67,,
198208,,466361,436.87,-0.14,,
198209,,468204,465.26,-0.43,,
198210,,475246,472.23,-0.7,,
198211,,477222,473.48,-0.02,,
198212,,482837,443.63,0.28,,
198301,,501701,448.27,1.12,,
198302,,544781,465.35,-0.45,,
198303,,519458,559.46,-0.11,,
198304,,518576,675.14,0.08,,
198305,,528494,677.66,0.99,,
198306,,538489,695.35,1.1,,
198307,,558064,743.54,6.81,,
198308,,553147,709.07,-3.17,,
198309,,561411,728.65,-0.88,,
198310,,562344,709.98,0.65,,
198311,,563345,712.13,1.05,,
198312,,575086,726.81,1.33,,
198401,,614553,793.31,0.25,,
198402,,627656,864.46,-0.43,,
198403,,601495,882.35,0.54,,
198404,,596948,899.8,0.83,,
198405,,603302,932,1.13,,
198406,,616527,900.45,0.7,,
198407,,625033,889.94,2.45,,
198408,,625584,908.23,0.06,,
198409,,632139,877.71,-0.78,,
198410,,627613,858.23,-0.04,,
198411,,629929,816.57,-0.26,,
198412,,638882,847.06,0.33,,
198501,,655524,823.26,1.86,,
198502,,705514,786.04,-0.45,,
198503,,671844,793.33,-0.2,,
198504,,655432,756.83,-0.15,,
198505,,651254,734.23,-0.07,,
198506,,652176,709.82,0.08,,
198507,,667292,669.79,0.57,,
198508,,665514,656.62,-0.23,,
198509,,673934,699.75,-0.72,,
198510,,685835,738.97,-0.24,,
198511,,696199,771.13,0.23,,
198512,,711278,807.7,0.44,,
198601,,752285,856.16,1.18,,
198602,,809278,923.35,-0.06,,
198603,,794080,961.12,0.69,,
198604,,808363,910.39,0.26,,
198605,,825326,915.33,0.28,,
198606,,853772,972.41,0.85,,
198607,,887807,976.58,1.85,,
198608,,924508,892.29,-0.06,,
198609,,959490,922.18,-0.41,,
198610,,993674,984.91,0.16,,
198611,,1026761,1009.96,0.05,,
198612,,1073740,1012.21,0.49,,
198701,,1158747,1113.63,0.38,,
198702,,1185403,1216.03,-0.41,,
198703,,1189298,1312.28,-0.24,,
198704,,1224741,1599.61,-0.1,,
198705,,1255199,1814.28,0.13,,
198706,,1282249,1735.67,0.88,,
198707,,1316199,1858.05,3.74,,
198708,,1325474,2451.5,-0.23,,
198709,,1358285,3567.25,-0.65,,
198710,,1408758,3590.11,0.16,,
198711,,1455904,2713.66,-0.15,,
198712,,1519513,2648.33,0.27,,
198801,,1548616,2610.83,0.4,,
198802,,1603637,3206.85,-0.79,,
198803,,1580514,3345.91,-0.08,,
198804,,1598903,3767.78,0.09,,
198805,,1649192,4441.56,0.12,,
198806,,1694748,4951.33,0.4,,
198807,,1719904,5422.07,4,,
198808,,1727320,7352.13,-0.2,,
198809,,1767807,8039.07,-0.98,,
198810,,1780170,6580.92,-0.35,,
198811,,1845344,6851.97,0.07,,
198812,,1886373,5856.62,0.23,,
198901,,1963114,5716.92,-0.1,,
198902,,2032137,6679.85,-0.91,,
198903,,2034608,7318.04,-0.41,,
198904,,2016064,7785.28,-0.14,,
198905,,1854583,8795.43,-0.33,,
198906,,1816600,9497.42,0.34,,
198907,,1844620,8619.62,3.88,,
198908,,1867491,9731.62,-0.18,,
198909,,1893902,10402.75,-1.55,,
198910,,1907374,10066.97,-0.37,,
198911,,1917357,10121.37,-0.36,,
198912,,1980253,8658.43,-0.22,,
199001,,2117923,10677.57,-0.55,,
199002,,2101585,11983.46,-1.01,,
199003,,1965843,11223.1,-0.6,,
199004,,1861746,9741.52,-0.41,,
199005,,1844389,7848.01,-0.03,,
199006,,1845297,6157.25,0.51,,
199007,,1808683,5037.66,2.04,,
199008,,1772144,4119.74,-0.04,,
199009,,1757147,3237.57,-0.42,,
199010,,1752143,2912.16,-0.26,,
199011,,1799589,3966.22,-0.1,,
199012,,1853816,4399.58,-0.09,,
199101,,1914041,3938.06,0.17,,
199102,,2044902,4643.07,-1.14,,
199103,,1965328,4781.39,-0.2,,
199104,,1953449,5605.66,-0.16,,
199105,,1944926,5993,0.12,,
199106,,1973682,5869.78,0.25,,
199107,,2006136,5259.56,2.43,,
199108,,1970661,4779.64,0.57,,
199109,,1966523,4669.08,0.04,,
199110,,1987431,4541.45,0.73,,
199111,,2005034,4448.69,0.8,,
