=== Per (code, year) liquidity, full 2010-2024 (reusing existing cache, zero new API calls) ===
code  year  active_days  mean_volume  liquid
 CCF  2010          236        272.0    True
 CCF  2011          247        260.6    True
 CCF  2012          250        195.2    True
 CCF  2013          246        255.8    True
 CCF  2014          248        639.9    True
 CCF  2015          244       1016.7    True
 CCF  2016          244        498.2    True
 CCF  2017          246       1445.9    True
 CCF  2018          247       1542.6    True
 CCF  2019          242       1031.3    True
 CCF  2020          245       6411.7    True
 CCF  2021          244      23134.0    True
 CCF  2022          246      10025.2    True
 CCF  2023          239       4100.8    True
 CCF  2024          242       3665.3    True
 CDF  2010          236         64.6    True
 CDF  2011          247        192.5    True
 CDF  2012          250        208.5    True
 CDF  2013          246        441.2    True
 CDF  2014          248        779.8    True
 CDF  2015          244       1568.4    True
 CDF  2016          244       1718.0    True
 CDF  2017          246       2471.7    True
 CDF  2018          247       3950.7    True
 CDF  2019          242       4025.8    True
 CDF  2020          245       5788.2    True
 CDF  2021          244       6194.6    True
 CDF  2022          246       7706.3    True
 CDF  2023          239       5179.1    True
 CDF  2024          242       8456.2    True
 EHF  2011          171          5.6   False
 EHF  2012          250          8.3   False
 EHF  2013          246         21.9   False
 EHF  2014          248         23.7   False
 EHF  2015          244         26.6   False
 EHF  2016          244         72.3    True
 EHF  2017          246        144.0    True
 EHF  2018          247         20.4   False
 EHF  2019          242         13.6   False
 EHF  2020          245         16.9   False
 EHF  2021          244         11.9   False
 EHF  2022          246        273.0    True
 EHF  2023          239        406.1    True
 EHF  2024          242        330.1    True
 FYF  2011          171         14.7   False
 FYF  2012          250         75.7    True
 FYF  2013          246         39.9   False
 FYF  2014          248         88.2    True
 FYF  2015          244         24.8   False
 FYF  2016          244         21.2   False
 FYF  2017          236        144.1    True
 FYF  2018          247        714.3    True
 FYF  2019          235        348.5    True
 FYF  2020          245        189.0    True
 FYF  2021          244       1233.5    True
 FYF  2022          246        638.8    True
 FYF  2023          239        273.2    True
 FYF  2024          242         89.8    True
 GMF  2011          171          3.5   False
 GMF  2012          250         20.5   False
 GMF  2013          246         27.7   False
 GMF  2014          248         84.8    True
 GMF  2015          244         88.2    True
 GMF  2016          244         33.7   False
 GMF  2017          246         30.2   False
 GMF  2018          247         15.4   False
 GMF  2019          242         19.0   False
 GMF  2020          245         53.8    True
 GMF  2021          244        159.7    True
 GMF  2022          246         55.1    True
